player2_name,player1_name,round,day,both_left_handed,both_right_handed,h2h_matches,h2h_win_rate,mixed_handed,month,month_cos,month_sin,p1_age,p1_avg_1st_serve_pct,p1_avg_1st_serve_win_pct,p1_avg_ace_rate,p1_avg_df_rate,p1_career_win_rate,p1_experience,p1_ht,p1_is_lefty,p1_rank_points,p1_recent_form,p1_surface_win_rate,p2_age,p2_avg_1st_serve_pct,p2_avg_1st_serve_win_pct,p2_avg_ace_rate,p2_avg_df_rate,p2_career_win_rate,p2_experience,p2_ht,p2_is_lefty,p2_rank_points,p2_recent_form,p2_surface_win_rate,quarter,surface_clay,surface_grass,surface_hard,tourney_importance,winner,split
Carlos Alcaraz,Fabio Fognini,1,1,0.0,1.0,0.3023285778117056,-2.0085656854780534,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,2.8824369483835928,-0.5092249874635325,-1.5430269562331103,-0.2172988381851768,1.4314484417466813,0.15612645009519033,2.9706434287740464,-1.0266411002228306,0.0,-0.24658876055307147,-0.2127310558070173,0.1622424595014717,-1.0195378530044328,0.3688092115622119,2.1418235640945915,0.8660811722939018,-1.3838218559821422,1.715922097158725,-0.559513137172603,-0.21688456070609224,0.0,5.079366963968459,1.152191017471198,2.0006201756479705,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Joao Fonseca,Jacob Fearnley,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-0.6058384680792737,0.5393018076368249,2.6169389221016046,1.6579956863193879,0.0294451950890996,-0.5529181153589819,-1.6337146707535364,-0.22819683608750754,0.0,-0.381439828862157,-0.44045842889885156,-0.7732774024804286,-1.8823056448276705,1.4919351696976004,0.7137022693889276,0.27463202594845393,-1.7715003435483132,0.6135300630556825,-1.3012217932506227,0.10241055720758814,0.0,-0.5637488831256072,0.4683219967835028,-2.4372295575901064,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Daniil Medvedev,Benjamin Bonzi,1,1,0.0,1.0,-0.09429084937703326,1.7055992182807327,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,0.6715581633014942,0.20984563471200673,1.1479059582569806,1.1834416523992954,-0.8880047133955526,-0.3545062292512904,0.10351246495779112,-0.22819683608750754,0.0,-0.48021608908855723,-0.44045842889885156,0.05829580817014929,0.7552987473176563,-0.266259166923374,1.6547366467955178,0.8835095395226622,0.870743319369506,1.2532869597183864,0.3664416181859439,2.1778288236465104,0.0,3.2255404801431022,0.24036565655427136,0.9401046143962244,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test
Nicolas Jarry,Holger Rune,1,1,0.0,1.0,-0.09429084937703326,1.7055992182807327,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-1.0234489052614477,0.3494967615371218,2.09161108857809,1.8894776029913802,-0.5425209205141494,0.7743723137834553,-0.10699937920699638,0.5702474280478155,0.0,1.6945794838961852,0.925905809652154,0.4985404491028082,0.6566967139664295,0.1949622583513852,2.757319819770206,1.2560475580230965,-0.7762617642809011,0.08051384446129957,1.0251382954672423,2.6567715005170314,0.0,0.6573955346602696,-0.6714597043626558,-0.21830469097106814,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Kamil Majchrzak,Matteo Berrettini,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,0.720688802969986,0.8737048986192811,2.408034779360284,2.2646756041142537,-1.5091563777896297,0.930861045225681,0.11292833019199874,1.8477582506643322,0.0,0.2988279806970516,0.69817843656032,1.517471441953239,0.582745188953009,-0.054819472403031054,1.6805556817454057,1.2683452930535255,-1.196657458965824,-0.3410482785873465,0.6613703558620984,-0.6958272375766128,0.0,-0.8605311963618684,0.012409316325039459,-1.0107778576207247,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Frances Tiafoe,Elmer Moller,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-1.2691021036039032,-1.051117179289552,-0.14346658363985282,-1.8852532333551557,-1.1433725290326113,1.0049826200051144,-1.1992397463750937,-0.22819683608750754,0.0,-0.7696734777520083,0.7740875609242645,0.8898690188207269,0.26228858056152043,-0.681234897266926,-0.11828727983544578,1.3476203036157273,0.7021477282176155,0.16072253504785783,0.8105219600415733,0.5813532340781087,0.0,1.3164393534513938,0.6962783370127347,0.36348658503270453,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Stefanos Tsitsipas,Valentin Royer,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-0.1636627110628538,-0.5357768364765243,-1.3725082181566022,-0.35833444421609045,-0.40241152042480394,0.031294660402554186,-1.8832350994600413,0.09118086956662165,0.0,-0.8864871420197512,0.014996317284816957,0.05829580817014929,-0.058168027829968084,-0.37487751165209354,2.239523607559254,1.8435586926132237,0.04916635470338616,1.0677069686683696,0.1821955189054166,1.3795910288623097,0.0,1.6906061667005483,0.24036565655427136,0.3790981577340577,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test
Karen Khachanov,Mackenzie McDonald,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-0.1636627110628538,-0.5357768364765243,-1.3725082181566022,-0.35833444421609045,-0.40241152042480394,0.031294660402554186,-1.8832350994600413,0.09118086956662165,0.0,-0.8864871420197512,0.014996317284816957,0.05829580817014929,0.6813472223042357,0.7506615169264359,2.1289609795954787,1.2970795976463678,-1.3258741396200155,0.509066385478933,1.023113613057566,2.1778288236465104,0.0,1.0103028698839038,0.9242346772419661,0.6351279500362547,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test
Roberto Bautista Agut,Cameron Norrie,1,1,0.0,0.0,0.6989480050004444,1.7055992182807327,1.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,0.8680807219754587,1.4158786447700729,1.2689714884243137,1.0589670544119294,-1.0899915787884038,0.4554491414349023,0.08938866710647947,0.5702474280478155,1.0,-0.06020225212586407,0.014996317284816957,0.24083626904466654,2.6533878893287794,0.5887560821370553,1.3810703918254879,0.8237463466129467,-0.280568239565674,0.6658022163610589,1.9774139221515794,-0.21688456070609224,0.0,-0.16662183360889102,0.4683219967835028,0.9787468818102555,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test
Leandro Riedi,Oliver Tarvet,1,1,0.0,1.0,-0.4909102765657721,-0.15148323359866034,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.010423097359022127,-0.1636627110628538,-0.5357768364765243,-1.3725082181566022,-0.35833444421609045,-0.40241152042480394,0.031294660402554186,-1.8832350994600413,0.09118086956662165,0.0,-0.8864871420197512,0.014996317284816957,0.05829580817014929,-0.8962853113153988,-0.9618798807230332,-0.7302903220293455,0.39649780494121684,1.8986059407352032,-1.298619028824867,-0.9091082999100135,1.0602959109486292,0.0,-0.582457223788065,-1.0237558665351048,-1.0756165712556967,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test
