both_left_handed,both_right_handed,h2h_matches,h2h_win_rate,mixed_handed,month,month_cos,month_sin,p1_age,p1_avg_1st_serve_pct,p1_avg_1st_serve_win_pct,p1_avg_ace_rate,p1_avg_df_rate,p1_career_win_rate,p1_experience,p1_ht,p1_is_lefty,p1_rank_points,p1_recent_form,p1_surface_win_rate,p2_age,p2_avg_1st_serve_pct,p2_avg_1st_serve_win_pct,p2_avg_ace_rate,p2_avg_df_rate,p2_career_win_rate,p2_experience,p2_ht,p2_is_lefty,p2_rank_points,p2_recent_form,p2_surface_win_rate,quarter,surface_clay,surface_grass,surface_hard,tourney_importance,winner,split,player1_name,player2_name
0.0,1.0,0.6989480050004444,-0.7705107175584581,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,0.327643685622057,-0.0616389488275483,-0.1255393390126062,1.1588110537475456,-0.1186107033431556,0.8891118839295697,0.769348649376767,0.5702474280478155,0.0,2.343067105382552,0.0149963172848169,0.8325191422241354,-1.0195378530044328,0.3688092115622119,2.1418235640945915,0.8660811722939018,-1.3838218559821422,1.715922097158725,-0.559513137172603,-0.2168845607060922,0.0,5.079366963968459,1.152191017471198,2.0006201756479705,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test,Andrey Rublev,Carlos Alcaraz
0.0,1.0,0.3023285778117056,-0.1514832335986603,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,0.1311211269480925,0.2248903865609957,2.505094665794713,2.3770285633027965,-1.3445459206239814,0.6081434095788608,0.5796862210877255,1.847758250664332,0.0,1.857775044270238,0.69817843656032,0.5037814567329589,1.1497068807225654,-0.4767192950441519,-0.6433523023103638,0.5336244720207308,1.0449205353230606,-0.1551411665707175,0.94280121080708,-0.2168845607060922,0.0,0.449903029131193,0.4683219967835028,0.142270599854526,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test,Taylor Fritz,Jordan Thompson
0.0,0.0,-0.0942908493770332,1.705599218280733,1.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,0.6469928434672492,0.1917541885476388,2.7591866402359746,1.2483476017644248,-0.7750847171139233,0.0825413951184785,1.0141611454661676,2.646202514799655,0.0,0.6681653015435915,-0.668185801990686,-0.2188952620467101,0.8785512890066903,1.4197727509363225,1.2681112058729316,1.06589777058636,-1.0901741139090846,0.4534566991996243,0.0971588576990196,0.5813532340781087,1.0,-0.0637259599653735,0.0124093163250394,0.2417163179621474,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test,Nicolas Jarry,Cameron Norrie
0.0,1.0,0.6989480050004444,1.705599218280733,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,0.6715581633014942,0.7471421908913735,2.1304030999953376,1.2892136486193533,-1.3264383305047298,0.511053592680739,1.0121434600588373,2.1671359563184613,0.0,1.0246187623606011,0.925905809652154,0.6340003386205495,0.582745188953009,-0.054819472403031,1.6805556817454057,1.2683452930535255,-1.196657458965824,-0.3410482785873465,0.6613703558620984,-0.6958272375766128,0.0,-0.8605311963618684,0.0124093163250394,-1.0107778576207247,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test,Karen Khachanov,Kamil Majchrzak
0.0,1.0,-0.4909102765657721,-0.1514832335986603,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,-0.1636627110628538,-0.5357768364765243,-1.3725082181566022,-0.3583344442160904,-0.4024115204248039,0.0312946604025541,-1.8832350994600413,0.0911808695666216,0.0,-0.8864871420197512,0.0149963172848169,0.0582958081701492,2.87524246436904,0.2607297634598506,1.544532085880438,0.3763806873036985,-0.5728032989159646,1.9903958760972489,3.3494737017754317,0.5813532340781087,0.0,3.846317238488291,1.6081036979296612,1.8471838816796329,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test,Alex de Minaur,Novak Djokovic
0.0,1.0,1.492186859377922,0.9627662375289756,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,-0.6058384680792737,0.3422952867610182,2.4305080744996257,2.28275835032474,-1.727258936199053,1.545613895025233,-0.362572864135492,1.049313986529009,0.0,9.274583801269944,2.0645426751113254,1.0561836609508424,1.9138726391945755,-0.1085914172661852,2.6210350801080047,1.9805427002144893,1.002750569245541,0.6939055245897561,2.318235461113727,1.0602959109486292,0.0,2.2986272382304245,0.924234677241966,0.4959117504719351,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test,Jannik Sinner,Grigor Dimitrov
0.0,0.0,0.3023285778117056,-0.1514832335986603,1.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,-0.8760569862559741,0.6101043369479419,1.2924107146349164,1.2776975455076187,0.1083212603026847,0.435018936335323,-1.1629214090431497,1.3686916921831385,1.0,1.1148057825673143,0.69817843656032,-0.1336057019799842,0.9278523056823036,1.0894086588164218,1.535152472319944,0.170530269895165,-1.5320865730996935,-0.0883755226849592,0.3711658771418546,1.0602959109486292,0.0,0.0077058862003741,0.0124093163250394,0.3218283357717245,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,1,test,Ben Shelton,Lorenzo Sonego
0.0,1.0,-0.0942908493770332,-2.008565685478054,0.0,-4.251429162798826e-05,-1.2643504006516997,-0.0104230973590221,2.366565231864436,-0.8015656645598603,-0.1805756780762024,0.5901123092727432,-0.013068907681178,0.8171328528792183,3.013014822327982,2.1671359563184613,0.0,-0.8778979020000642,-0.4404584288988515,1.064937063168217,-0.8223337863019782,-1.0479526762091478,2.365953092359753,0.888730437864338,0.7187101445209138,0.1401992048686548,-0.871314228262726,-0.2168845607060922,0.0,0.3784711829654453,0.6962783370127347,-0.297552007636034,-0.3633580869809898,0.0,1.0,0.0,2.0738783426779124,2,test,Marin Cilic,Flavio Cobolli
